N, IterLin, RecLin, IterBin, RecBin
2000, 11718, 7347, 586, 509
2100, 2287, 5459, 69, 97
2200, 7185, 9412, 74, 93
2300, 5972, 9338, 81, 89
2400, 4461, 6693, 71, 70
2500, 3585, 6627, 70, 69
2600, 5294, 8641, 72, 71
2700, 7334, 10215, 70, 73
2800, 7457, 10029, 78, 79
2900, 7817, 10626, 75, 72
3000, 4493, 8579, 59, 66
3100, 5388, 8624, 69, 69
3200, 3510, 11773, 57, 60
3300, 9199, 13538, 80, 76
3400, 2870, 8775, 62, 63
3500, 8754, 12491, 69, 77
3600, 4589, 9225, 67, 69
3700, 4338, 11100, 61, 64
3800, 9156, 13224, 77, 74
3900, 7289, 12395, 96, 99
4000, 8011, 12379, 68, 68
4100, 9188, 14280, 78, 75
4200, 5722, 11381, 67, 70
4300, 6223, 11706, 65, 67
4400, 5414, 11827, 61, 65
4500, 4649, 12181, 65, 68
4600, 5028, 12577, 69, 71
4700, 10470, 16023, 73, 73
4800, 11007, 16635, 80, 76
4900, 11427, 17209, 81, 77
5000, 7743, 14342, 63, 67
5100, 10957, 17185, 80, 76
5200, 8181, 15329, 73, 74
5300, 10734, 17950, 78, 76
5400, 6259, 15274, 58, 63
5500, 11193, 18181, 76, 76
5600, 8681, 16503, 73, 75
5700, 11963, 19193, 111, 122
5800, 5282, 16233, 69, 71
5900, 7379, 16549, 67, 68
6000, 6774, 16542, 58, 63
6100, 8445, 17062, 65, 66
6200, 10911, 18998, 68, 72
6300, 11801, 19891, 69, 71
6400, 11682, 19942, 73, 73
6500, 12808, 21075, 80, 77
6600, 12650, 21302, 81, 80
6700, 6206, 19126, 57, 63
6800, 5027, 19043, 65, 68
6900, 7127, 19082, 64, 67
7000, 14580, 23490, 78, 76
7100, 13000, 22260, 69, 70
7200, 5735, 18897, 58, 64
7300, 8976, 20036, 70, 73
7400, 9989, 20364, 65, 68
7500, 8713, 20427, 57, 64
7600, 12611, 22230, 82, 77
7700, 9842, 21038, 74, 71
7800, 6843, 21823, 66, 66
7900, 14600, 24212, 82, 79
8000, 16524, 26882, 64, 69
